iteration,prox_total_sec,denoise_total_sec,makespan_sec,iteration_total_sec,consensus_change_pct,denoise_mean_iterations
1,441.2637265049925,264.6524277949975,315.8175293310014,336.9952143429982,46.66209568284018,15.0
2,370.6962480300317,207.02125538300243,278.757679473998,300.27093867700023,9.53926257113502,15.0
3,533.6838364380055,203.03848631099754,318.81400829799895,340.0893267020001,7.624301490938018,15.0
4,530.7642746060046,187.9192252329958,317.47129642599975,338.6024965760007,5.134460023774197,15.0
5,683.9415039699779,201.8427203940082,356.36615869199886,377.38156535500093,3.5137293055231846,15.0
6,678.9967117210035,177.3358480389761,353.2051202260009,374.2139983880006,2.3760766813959737,15.0
7,774.0786669359914,205.1199439939992,377.6295940790005,398.53351673699945,1.7474715746583558,15.0
8,769.3119830419892,197.16577942001095,377.32789019399934,398.0291529180031,1.2710095510548223,15.0
9,780.7454949489693,209.38820433299406,380.6145483110013,401.2453160610021,1.183610858274505,15.0
10,770.9104230749945,196.8995855119938,377.06807115099946,397.7011878129997,0.9384024266807949,15.0
