iteration,prox_total_sec,denoise_total_sec,makespan_sec,iteration_total_sec,consensus_change_pct,denoise_mean_iterations
1,427.48625204001655,272.04249031800646,302.47956220799824,324.2318814229984,46.665758463561716,15.0
2,388.4492724140182,213.93510482901183,290.89966276499763,314.28947378299927,9.536849075993837,15.0
3,382.96296342702044,204.58025167098822,286.79995943299946,308.67767956900207,7.520362637119107,15.0
4,411.73271434301205,203.5252962099985,314.5061980850005,342.6604454949993,5.114954086632104,15.0
5,440.09900514200126,245.05267188300786,340.48666263799896,362.1455920349981,3.359597659299917,15.0
6,449.1324163290046,256.773414546984,352.59395760900225,380.22861514599936,2.331476261547536,15.0
7,430.6249261319863,227.01322464500117,323.54592314399997,348.72985863800204,1.6498355380731355,15.0
8,425.2766070890102,233.1751481489955,310.94236366899713,332.7818025009983,1.2408264617605576,15.0
9,381.8778758129956,221.46137446401553,286.8162343309996,308.08387800799755,1.0343668837150475,15.0
10,381.58357592398534,205.8865250800227,284.68683827600034,306.37334213500435,0.9003068148710538,15.0
